Date,Close,High,Low,Open,Volume,ticker,sector,log_ret,obs_smoothed,z_vol,z_rsi,z_obv_roc,z_vix,z_dxy_ret
2025-01-30,39513.96875,39600.9296875,39221.359375,39302.8515625,107900000,^N225,Indices,0.0025133440530378578,-0.0022392907684333383,0.011303422034615464,0.5287305618015038,-0.022355938791080665,,
2025-01-31,39572.48828125,39681.8203125,39458.94921875,39574.37890625,123300000,^N225,Indices,0.0014798878120692426,-0.00180867638345674,0.010500804678376881,0.5353270021679039,0.013276476018815764,,
2025-02-03,38520.08984375,38948.609375,38401.8203125,38932.66015625,169200000,^N225,Indices,-0.02695421712456531,-0.005357041834835044,0.011882938162269761,0.4211577409553815,0.0057552669638729625,,
2025-02-04,38798.37109375,39192.51171875,38590.9609375,39078.66015625,144300000,^N225,Indices,0.007198344308640012,-0.0011231762215933119,0.011624788231697679,0.4542993036873257,0.0478942645515521,,
2025-02-05,38831.48046875,39118.94921875,38682.1796875,38979.2109375,151200000,^N225,Indices,0.0008530063201506268,-0.002981926926133517,0.010622769086650836,0.45827345674555486,0.05348993790678547,,
2025-02-06,39066.53125,39190.12890625,38851.51171875,38977.578125,154700000,^N225,Indices,0.0060348522236073916,-0.00227762529201961,0.010754388365615111,0.4868450216237292,0.05953117177606981,,
2025-02-07,38787.01953125,39007.94140625,38753.19921875,38907.76171875,148700000,^N225,Indices,-0.007180479680019858,-0.00400969879043743,0.01067402702492366,0.45604276815241773,0.019133151112846525,,
2025-02-10,38801.171875,38895.73828125,38606.3203125,38736.37109375,134600000,^N225,Indices,0.00036480664519823985,0.0014541059635152795,0.01044005993943361,0.4579129070151782,0.06465050774590475,,
2025-02-12,38963.69921875,39102.6484375,38794.23828125,39049.12109375,175500000,^N225,Indices,0.004179974276465047,0.0008504319570802867,0.009584216179639315,0.48002228788811463,0.06782490057766544,,
2025-02-13,39461.46875,39581.46875,39112.171875,39225.5,130400000,^N225,Indices,0.012694297724961686,0.0032186902380424987,0.009946552443264412,0.541676930872301,0.06341428774321822,,
2025-02-14,39149.4296875,39543.9296875,39133.94140625,39419.25,132900000,^N225,Indices,-0.007938866176857908,0.0004239465579494388,0.010143132022422608,0.5015307734986045,0.022082632683408043,,
2025-02-17,39174.25,39238.75,39021.23046875,39094.08984375,111300000,^N225,Indices,0.000633788234410511,0.001986800140835513,0.010102013105380756,0.5046754534895462,0.059443734922662195,,
2025-02-18,39270.3984375,39508.55078125,39151.7109375,39187.98828125,116000000,^N225,Indices,0.0024513714463187957,0.002404113101059624,0.009792276036239994,0.517377261789878,0.055739668040547974,,
2025-02-19,39164.609375,39298.05078125,38994.69921875,39230.62109375,124300000,^N225,Indices,-0.002697497701553657,0.0010286187054558828,0.009794224597301537,0.5021203461886534,0.013660273749167562,,
2025-02-20,38678.0390625,38967.01171875,38468.71875,38942.91015625,125200000,^N225,Indices,-0.012501544060140844,-0.004010549651564623,0.009464347533579848,0.4381251837680381,-0.020714524207011697,,
2025-02-21,38776.94140625,38808.80859375,38456.53125,38523.0703125,130100000,^N225,Indices,0.0025538034327592034,-0.0019120157296412007,0.009268579898080625,0.45337533702086574,0.014671090202050374,,
2025-02-25,38237.7890625,38485.94921875,38131.7890625,38359.671875,132900000,^N225,Indices,-0.014001507204940228,-0.004839074817511349,0.009676105999299967,0.39106338040691574,-0.018256338820503926,,
2025-02-26,38142.37109375,38175.23828125,37742.76171875,38143.6796875,120800000,^N225,Indices,-0.002498502705209005,-0.005829049647816909,0.00953426224865788,0.38108099932062744,-0.04920930109866917,,
2025-02-27,38256.171875,38369.9609375,38061.94140625,38251.109375,121600000,^N225,Indices,0.002979137061923762,-0.004693722695121425,0.009143783272070417,0.40072863433976424,-0.017056425659729646,,
